"","lnL","AIC","AICc","AICw"
"dull.null",-3237.63915650875,6483.2783130175,6483.33032862218,6.81960537141808e-52
"bisse",-3176.34399248998,6362.68798497997,6362.76610997997,1.0462037273299e-25
"hisse.null.cid2",-3166.96812526806,6347.93625053612,6348.08246463534,1.67076241407327e-22
"hisse.null.cid4",-3140.27924018318,6302.55848036636,6302.90493705928,1.19281279653515e-12
"hisse.full",-3110.82453327981,6247.64906655963,6248.12801392805,0.999999999998807
