"","0A","1A","0B","1B"
"0A",NA,2.06115362243856e-09,0.00340527358137743,NA
"1A",0.0385807452726769,NA,NA,0.00340527358137743
"0B",0.00340527358137743,NA,NA,0.025082628151099
"1B",NA,0.00340527358137743,0.0920646926062194,NA
"",NA,NA,NA,NA
"0A",NA,0.253214417487544,0.0164614355649195,NA
"1A",0.00224806939773488,NA,NA,0.0164614355649195
"0B",0.0164614355649195,NA,NA,2.06115362243856e-09
"1B",NA,0.0164614355649195,0.0894445882601586,NA
