"","0A","1A","0B","1B"
"0A",NA,2.06115362243856e-09,0.00855029994451634,NA
"1A",0.0378919288643464,NA,NA,0.00855029994451634
"0B",0.00855029994451634,NA,NA,0.020821727774048
"1B",NA,0.00855029994451634,0.0864083961115704,NA
