"","lnL","AIC","AICc","AICw"
"dull.null",-3820.68749974917,7649.37499949833,7649.4184777592,6.73590938959072e-60
"bisse",-3751.53833588789,7513.07667177579,7513.1419601327,2.66196320253163e-30
"hisse.null.cid2",-3735.56591078786,7485.13182157572,7485.2539589803,3.11421912523728e-24
"hisse.null.cid4",-3702.86028042182,7427.72056084364,7428.00971747015,9.12107517212337e-12
"hisse.full",-3675.43984699472,7376.87969398944,7377.2792549115,0.999999999990879
