"","Df","lnLik","AIC","ChiSq","Pr(>|Chi|)"
"minimal",3,-1177.62345323541,2361.24690647082,NA,NA
"lincon",4,-1077.45135779316,2162.90271558633,200.344190884493,0
"conlin",4,-1117.18158342074,2242.36316684147,120.883739629349,0
"linlin",5,-1077.4361481,2164.8722962,200.374610270821,0
"lincon.d",5,-1062.01563110669,2134.03126221337,231.21564425745,0
