"","A","B"
"NonUrban",6.698878542078e-11,2.66093986163184e-10
"Urban",3.33412582257799e-10,6.90286098538592e-10
"",NA,NA
"NonUrban",7.62353783460306e-10,1.03747764368358e-10
"Urban",1.71665233777708e-10,4.21641310631823e-10
