"","0A","1A","0B","1B"
"0A",NA,2.06115362243856e-09,0.00694975595844222,NA
"1A",0.0388652057682755,NA,NA,0.00694975595844222
"0B",0.00694975595844222,NA,NA,0.0176020509771632
"1B",NA,0.00694975595844222,0.0780421730961239,NA
