"","Df","lnLik","AIC","ChiSq","Pr(>|Chi|)"
"minimal",3,-1466.6748011509,2939.3496023018,NA,NA
"lincon",4,-1348.72370001416,2705.44740002832,235.902202273475,0
"conlin",4,-1397.28148971572,2802.56297943144,138.786622870354,0
"linlin",5,-1348.76451074677,2707.52902149355,235.820580808251,0
"lincon.d",5,-1331.39874544584,2672.79749089167,270.552111410128,0
