"","A","B"
"NonUrban",0.0320933755806924,0.12748184914918
"Urban",0.159733232339048,0.33070626492741
"",NA,NA
"NonUrban",0.369867522323913,0.0503348043731031
"Urban",0.083285996690829,0.204565688865528
